iter	MultiClass
0	1.558406182
1	1.343055505
2	1.183793279
3	1.051216262
4	0.9489974951
5	0.873979373
6	0.8021265205
7	0.7303836344
8	0.6792284005
9	0.6360560815
10	0.5922370557
11	0.5512658813
12	0.5172319026
13	0.4816668707
14	0.4494919419
15	0.4205524625
16	0.3948708101
17	0.3708897299
18	0.3475393025
19	0.325773398
20	0.307279852
21	0.2952087525
22	0.2810624642
23	0.2692793683
24	0.2582834668
25	0.251241166
26	0.2392685557
27	0.2309109833
28	0.2210228238
29	0.2117472404
30	0.2052983282
31	0.1965665995
32	0.1899121684
33	0.1828853429
34	0.1773948076
35	0.1713144875
36	0.1652371488
37	0.1602729971
38	0.1547023465
39	0.1511954654
40	0.1472565616
41	0.1423403426
42	0.1390801661
43	0.1361569763
44	0.1332198755
45	0.1290692858
46	0.1248740607
47	0.121385443
48	0.1193812968
49	0.1159628092
50	0.1125304487
51	0.1098146532
52	0.1070891133
53	0.1052350677
54	0.1023206658
55	0.1004558553
56	0.09852111305
57	0.09693351183
58	0.09545082099
59	0.09340812574
60	0.09205814552
61	0.08965080433
62	0.08860356999
63	0.08731894918
64	0.08570462214
65	0.08387164924
66	0.08191323381
67	0.08002965903
68	0.07903426042
69	0.07765270289
70	0.07689742357
71	0.07606712786
72	0.07545259126
73	0.07466944377
74	0.07356103781
75	0.07230734366
76	0.07184546092
77	0.07056881724
78	0.06964421577
79	0.06858737461
80	0.06762540087
81	0.06715586739
82	0.06611059396
83	0.06539311694
84	0.06433221067
85	0.06331226457
86	0.06271823503
87	0.06189440742
88	0.06097871048
89	0.06067255104
90	0.0603319945
91	0.05997761722
92	0.05938035362
93	0.05825195821
94	0.05752990459
95	0.0570068721
96	0.0564100392
97	0.05546810511
98	0.05498619946
99	0.05409799715
100	0.05356408573
101	0.05310627051
102	0.05274818505
103	0.05208831601
104	0.05168246768
105	0.05130095971
106	0.05076873261
107	0.05032772674
108	0.05000634107
109	0.04963469879
110	0.04886898529
111	0.04842287457
112	0.04820508376
113	0.04801507018
114	0.04727174862
115	0.04685245869
116	0.04658202039
117	0.04625680289
118	0.04584126475
119	0.04514958471
120	0.04468095509
121	0.04419580022
122	0.0440445437
123	0.0436790765
124	0.04359519491
125	0.04334637091
126	0.04316670175
127	0.04262034864
128	0.0419585032
129	0.04172455323
130	0.04151000885
131	0.0412202074
132	0.04067946876
133	0.04049569215
134	0.04004684769
135	0.0396237738
136	0.03934489006
137	0.03903886986
138	0.03869050951
139	0.03833488918
140	0.03807215269
141	0.03761355937
142	0.03706271937
143	0.03690788329
144	0.03656845445
145	0.03644703853
146	0.03594829498
147	0.03573257038
148	0.03545113553
149	0.03519457999
150	0.03504487634
151	0.03475237586
152	0.03467730844
153	0.03433374902
154	0.03414998759
155	0.03392193173
156	0.03365852069
157	0.03354433773
158	0.03337720549
159	0.03323803354
160	0.03299971706
161	0.03291509521
162	0.03273949409
163	0.03241817368
164	0.03210931248
165	0.03175997739
166	0.03160263392
167	0.03134949447
168	0.03115816544
169	0.03098863362
170	0.03083612335
171	0.0305817049
172	0.03041111953
173	0.03020633935
174	0.03009324349
175	0.03000850316
176	0.02992898878
177	0.02977708359
178	0.02968475012
179	0.02951861822
180	0.02938361316
181	0.0293652438
182	0.02933232334
183	0.02925208554
184	0.02916509595
185	0.02915170982
186	0.02895239769
187	0.02882523974
188	0.02870545393
189	0.02844771291
190	0.02823964783
191	0.02811710307
192	0.02802700518
193	0.02783090103
194	0.02773503083
195	0.02761879904
196	0.02756529343
197	0.02755472916
198	0.02743695735
199	0.02734315046
200	0.02716371704
201	0.02701388826
202	0.02685584848
203	0.0267603415
204	0.0266636387
205	0.02649760621
206	0.02634237042
207	0.02625861266
208	0.02621484941
209	0.02613597229
210	0.02597099484
211	0.02592787788
212	0.02581120343
213	0.02579179376
214	0.02569829353
215	0.02563549615
216	0.02543744369
217	0.02528510917
218	0.02526224955
219	0.02514949226
220	0.02498288812
221	0.02487913111
222	0.02483992557
223	0.02481409569
224	0.02465051425
225	0.02457466297
226	0.02446992909
227	0.02435861898
228	0.02426614732
229	0.02419711065
230	0.02416527995
231	0.02409995683
232	0.02397884574
233	0.02388347863
234	0.0237779036
235	0.02375285471
236	0.02363149144
237	0.02353630241
238	0.02340226263
239	0.02337372544
240	0.02333012547
241	0.02329817263
242	0.02323769759
243	0.02309687825
244	0.02294126896
245	0.02273726354
246	0.02258917552
